user_id,title,content,age_type,category,youtube_url,created_at
1,大きな夢を持つ！,"これはサッカーをしていれば知らない人はいない本田圭佑の言葉です。本田選手は夢を持ち続けた事によって、そのために行動できたと言っています。下記URLに詳細が記載されていますので一度ご覧ください。
http://matubarahibefumi.com/keisuke-honda-dreadfulness",中学生,メンタル,,2020/9/17 10:00:00
2,本田圭佑　名言,本田圭佑の名言集です。これを見ればモチベーションが上がります,高校生,メンタル,EOry9IjfGzU,2020/9/18 9:15:00
3,小学生向けドリブル練習！,ドリブル中にリズムをずらして相手を抜く方法です。小学生からいろんなリズムのドリブルをできるようになるといいと思います。 是非やってみてくだい。,小学生以下,練習メニュー,yTAT-LK9Cds,2020/9/17 19:30:00
3,小学生向けドリブル練習！,これなら毎日家の中でもできるのでぜひやってみて下さい。,小学生以下,練習メニュー,2PojqU4KKyI,2020/9/15 20:10:00
3,サッカーをやり始めた小学生低学年向けのボールタッチ練習,初級のボールタッチ練習なので、子供がサッカーを始めたところという方はこれをやらせて下さい。,小学生以下,練習メニュー,iWDaTM6cbGo,2020/9/13 21:12:00
4,【久保建英】実際にやってた練習法「トラップ・パス編」,久保健英選手が子供の頃にやっていた練習方法を動画で解説してくれています。本で読むよりイメージしやすいので見て練習してみよう。,中学生,練習メニュー,-H4BSxRISM4,2020/9/10 7:50:00
4,【久保建英】実際にやってた練習法「ドリブル&ボールタッチ編」,久保健英選手が子供の頃にやっていた練習方法を動画で解説してくれています。本で読むよりイメージしやすいので見て練習してみよう。,中学生,練習メニュー,Q4wJs1yWguY,2020/9/9 6:55:00
5,コロナ禍で外で練習できない君へ,仲間と外でサッカーができずにいると思います。サッカーはボールの感覚が大事なので家で毎日やってボール感覚を維持しておきましょう。,高校生,練習メニュー,W2ny45F95wE,2020/6/1 8:05:00
6,プレス戦術の違い,最近プレス戦術が多いですが、プレス戦術も1種類だけではなく色々違いがあるので動画を見てみて下さい。社会人チームでプレス戦術は体力的に厳しいですが、情報までに。,社会人,戦術,-hB7bvMGqTE,2020/9/20 19:30:00
3,ボールタッチが柔らかくなるドリブル練習法【小学生向け】,私の子供の頃は動画などなく一人でリフティングばかりしていましたが、今は素晴らしい方がたくさん動画で解説してくれているので一人でも上手くなるチャンスがあります。ぜひみて下さい。,小学生以下,練習メニュー,XJa10vnpBGA,2020/5/22 10:21:00
2,チームの戦術について,"感覚だけでサッカーをするのもいいですが、高校生になってからは以下のURL記事を読んで、理論的にサッカーができるようになるのも大事です。一度読んでみて下さい。
https://super-crack.com/learn_reading/tactica_equipo1",高校生,知識,,2020/9/9 9:50:00
6,プレッシャーをポジティブに,"本田圭佑選手のプレッシャーとの向き合い方についての一言がすごいと感じたので共有します。
「このプレッシャーは今、日本で自分だけが感じられているんだと。そうやってポジティブに言い聞かせることで前向きになり、もっとそのプレッシャーを味わってやろうと思える」
https://web.gekisaka.jp/news/detail/?193356-193356-fl",全対象,メンタル,,2020/9/12 20:50:00
5,フェイントの「土台」をつくる練習！,"これなら家でもフェイントの練習ができます。
相手を抜くことができると試合でチャンスができることが多いので、ぜひフェイントの練習もしてみて下さい。",中学生,練習メニュー,H54wPltMsNE,2020/9/11 12:15:00
4,あなたもメッシになれるかも！？,ドリブルが上手くなる練習方法です。僕もこれを見て毎日練習します,全対象,練習メニュー,PthvjKl0_To,2020/9/20 12:15:00
6,サッカーのテクノロジー化,"最近では、プロ選手の分析をテクノロジーで行っていますが、解析ソフトなどソフトフェアが一般的に普及すると自分の分析ができ成長に繋がりそうです。
https://www.excite.co.jp/news/article/Footballista_076447/",全対象,知識,,2020/9/20 8:35:00
